FSC_A	FSC_H	FSC_W	SSC_A	SSC_H	SSC_W	CD34	CD43	CD38	CD90	CD49f	CD31	CD45RA	FLK1	CD73
129562.6796875	83058	102230.0078125	68131.1796875	51558	86602.3671875	2.0091762808657	1.87656422631115	1.28283883105236	4.61732541553798	3.14487189946558	2.36398077527179	1.17902695445346	2.10902645687429	2.51882552965045
150896.796875	96686	102281.3359375	78992.1015625	55802	92771.34375	0.884810491068814	2.02881517232745	1.80837314967896	4.7752815165132	3.77071912707021	2.09584171616114	2.38199998042792	2.38786502988122	2.59011852832483
117776.1015625	78646	98143.265625	60947.7109375	45942	86941.5625	0.543396871229099	1.7684161028999	1.32054433733436	4.64885494607423	3.34514205310773	1.60420615885237	1.26578869164024	2.35523955925656	2.53463418343927
104450.8203125	67074	102055.78125	70534.359375	48406	95495.1796875	0.843442681988927	1.95932767071536	1.29005156302137	4.70302974872445	3.33838247793543	2.15668107045865	1.77119402345407	2.03134122884527	2.59561831964274
113505	74311	100101.78125	52864.4296875	40727	85066.9921875	1.59409699856473	1.77422492604439	1.80967113109826	4.58714735213746	3.26490248890364	1.99507208008778	2.14473448158421	2.45349568437493	2.4727347972386
125502.03125	85503	96194.3046875	52101.29296875	41055	83169.1796875	1.59991237195225	1.95554346301481	1.96683275935337	4.75384380436811	3.62429268807724	1.92497678500334	1.8921871877248	2.40400029139304	2.54470819024938
118842.1484375	70606	110308.4609375	77193.2734375	54062	93576.6015625	1.90784899880339	2.00233888484679	1.77398703374433	4.77728809830592	4.0440272605799	2.55626328891709	2.22992156095522	2.57214341692446	2.59305263081257
95191.0234375	64801	96270.71875	62793.94140625	49125	83771.2734375	1.29062934490227	1.83847129445181	1.91622439429544	4.58773734259788	3.64579411128399	1.89257323900393	1.60622200091276	1.77934339319677	2.33364031912101
99387.6015625	66415	98072.2109375	51673.90234375	41803	81010.953125	1.10413838759684	1.8531504680439	1.80819374753091	4.41572149844361	3.1819839322072	1.06033753060056	1.91243105204774	2.56133501411957	2.39015136185673
133178.28125	87499	99749.390625	65973.6953125	50075	86343.53125	1.9637140230269	1.80753503322992	1.4395871743365	4.85848205053061	3.71565402539755	1.3446670634422	1.77599889409558	2.17757911430446	2.6145272580922
177994.46875	107324	108690.0078125	75925.3203125	55756	89243.15625	1.5355757945244	2.09701425343876	2.09606926389278	4.38438642245567	2.97328712838289	2.0439897117786	2.80640578816111	2.55311204373879	2.37379541391319
100567.5	64699	101868.5234375	65948.4140625	49499	87314.796875	0.907162328943888	1.95172599171759	0.280010034101002	4.7679653091063	3.54100996372625	1.66119480437027	2.48709884460489	2.56127118779837	2.66726106798414
100152.1171875	65345	100444.859375	68984.3828125	53189	84998.03125	1.52730807562006	1.77422492604439	1.21934472519258	4.54461427649966	3.19624622423439	2.30229305171491	1.9286224533646	2.54947809946767	2.62839674415201
121431.03125	81924	97140.078125	62893.48046875	48372	85210.1953125	1.79993651094472	1.85793525552829	1.01303982596092	4.67478500745577	3.16901355580255	2.17136642297147	1.33849208269326	2.31438993370442	2.35183808851816
126913.078125	86298	96379.6953125	51625.7109375	40990	82540.6875	1.22577356489179	1.4689378135438	1.65556538942163	4.50928371028276	3.22614527329033	1.94100854270079	2.17830675962275	2.60297003142522	2.6614519228603
126541.171875	79315	104557.8046875	98780.8125	69587	93030.3046875	0.0561149386151047	2.06572907427213	2.0498385687971	4.8311481079022	3.81132694598054	1.45728917137859	2.4229657571652	2.44718204850469	2.765847563086
140841.421875	91223	101182.640625	65092.05078125	49655	85910.234375	1.39874172647405	1.85793525552829	1.81495621765092	4.35002427623376	3.02453932536184	1.89318898833963	2.28819804197953	1.67269151954357	2.46688165941739
158539.921875	98238	105764.296875	79751.2890625	58474	89382.9765625	1.87450682171603	1.87656422631115	1.65860588671128	4.54022524899267	3.59846606342408	1.94632072698905	1.82006281077646	2.19025735955709	2.28455934776651
174323.671875	107706	106070.9296875	82107.859375	58410	92124.9921875	0.980074224443658	2.04147165747892	2.06456993027054	4.75431363894515	3.69390953359515	1.35626711680569	2.43577483019184	2.35825518214905	2.46535339145696
159795.03125	106168	98639.203125	59213.66015625	45176	85900.1796875	1.5730705802546	2.03834194700065	0.458331331252237	4.35175803597586	3.14026289015284	0.659683056023604	2.35730811983807	2.37752939791167	2.49817756659352
129427.4375	89859	94394.0703125	59007.47265625	44471	86958.09375	1.10154971653404	1.77422492604439	1.81657294222169	4.43280005712831	3.47160041781036	1.34008715092165	1.6420820398458	2.28909536104601	2.49774500434142
155339.703125	95862	106197.8984375	89888.5703125	65858	89449.078125	1.97570426822488	2.03518951868611	2.33026405680875	5.38898110901337	3.51442520377645	2.78238315053272	2.38142699463718	2.52091637617227	2.80590979083222
114069.421875	75038	99624.8984375	59437.23046875	45418	85765.0859375	1.85752161141973	1.51321760514985	2.28934252900399	4.59746817622831	3.48986828082818	1.33408295760256	1.69963663078943	1.81274677368069	2.38283060999488
176298.453125	101890	113395.78125	88307.78125	61042	94809.1328125	1.77725210429084	2.20569145853166	1.62224997519371	4.68572580064807	3.53719520686258	2.1175108040286	2.41151381867604	2.58183588715881	2.65300648881789
171744.453125	103855	108376.53125	76031.96875	50987	97727.484375	1.55618532702749	1.83346586989455	1.62042158905473	4.56011212070996	3.55114600791308	1.6347996097954	2.54745460966716	2.04671527770646	2.23901524760552
129219.75	91578	92473.5859375	58466.3203125	44286	86520.5390625	1.32626400201408	1.71231292024872	1.76753826118497	4.56924597611987	3.53413942768942	1.77993461211348	1.14628186629806	1.80304261718513	2.66860230502464
120982.53125	74862	105911.03125	75377.8515625	56286	87765.3984375	1.7501198792964	1.64787177276046	1.30235676798234	4.62088791462846	3.30697106492158	1.78293021351363	2.36810296512046	2.04474892340405	2.66770460940001
